Genre,North_America_Sales,Japan_Sales,Regional_Preference
Action,879.01M,161.44M,North America
Sports,684.43M,135.54M,North America
Shooter,592.24M,38.76M,North America
Role-Playing,330.81M,355.46M,Japan
Platform,445.50M,130.83M,North America
Misc,407.27M,108.11M,North America
Racing,359.35M,56.71M,North America
Fighting,223.36M,87.48M,North America
Simulation,182.19M,63.80M,North America
Puzzle,122.87M,57.31M,North America
Adventure,105.26M,52.30M,North America
Strategy,68.55M,49.66M,North America
,1.78M,0.03M,North America
